﻿date,instrument,tenor,yield
46128,국고채,30,3.54
46127,국고채,0.25,2.621
46127,국고채,0.5,2.678
46127,국고채,0.75,2.775
46127,국고채,1,2.925
46127,국고채,1.5,3.099
46127,국고채,2,3.2
46127,국고채,2.5,3.247
46127,국고채,3,3.333
46127,국고채,4,3.49
46127,국고채,5,3.52
46127,국고채,7,3.58
46127,국고채,10,3.655
46127,국고채,15,3.66
46127,국고채,20,3.622
46127,국고채,30,3.532
46126,국고채,0.25,2.618
46126,국고채,0.5,2.678
46126,국고채,0.75,2.775
46126,국고채,1,2.916
46126,국고채,1.5,3.098
46126,국고채,2,3.203
46126,국고채,2.5,3.25
46126,국고채,3,3.337
46126,국고채,4,3.491
46126,국고채,5,3.516
46126,국고채,7,3.58
46126,국고채,10,3.652
46126,국고채,15,3.665
46126,국고채,20,3.63
46126,국고채,30,3.537
46125,국고채,0.25,2.621
46125,국고채,0.5,2.69
46125,국고채,0.75,2.781
46125,국고채,1,2.921
46125,국고채,1.5,3.118
46125,국고채,2,3.242
46125,국고채,2.5,3.29
46125,국고채,3,3.38
46125,국고채,4,3.531
46125,국고채,5,3.55
46125,국고채,7,3.638
46125,국고채,10,3.712
46125,국고채,15,3.72
46125,국고채,20,3.677
46125,국고채,30,3.602
46122,국고채,0.25,2.621
46122,국고채,0.5,2.686
46122,국고채,0.75,2.778
46122,국고채,1,2.916
46122,국고채,1.5,3.098
46122,국고채,2,3.225
46122,국고채,2.5,3.274
46122,국고채,3,3.357
46122,국고채,4,3.5
46122,국고채,5,3.515
46122,국고채,7,3.608
46122,국고채,10,3.685
46122,국고채,15,3.69
46122,국고채,20,3.645
46122,국고채,30,3.57
46121,국고채,0.25,2.621
46121,국고채,0.5,2.688
46121,국고채,0.75,2.778
46121,국고채,1,2.909
46121,국고채,1.5,3.074
46121,국고채,2,3.2
46121,국고채,2.5,3.252
46121,국고채,3,3.33
46121,국고채,4,3.472
46121,국고채,5,3.484
46121,국고채,7,3.576
46121,국고채,10,3.655
46121,국고채,15,3.674
46121,국고채,20,3.641
46121,국고채,30,3.572
46120,국고채,0.25,2.615
46120,국고채,0.5,2.701
46120,국고채,0.75,2.775
46120,국고채,1,2.907
46120,국고채,1.5,3.072
46120,국고채,2,3.202
46120,국고채,2.5,3.25
46120,국고채,3,3.32
46120,국고채,4,3.451
46120,국고채,5,3.48
46120,국고채,7,3.556
46120,국고채,10,3.632
46120,국고채,15,3.649
46120,국고채,20,3.612
46120,국고채,30,3.53
46119,국고채,0.25,2.618
46119,국고채,0.5,2.723
46119,국고채,0.75,2.828
46119,국고채,1,2.994
46119,국고채,1.5,3.139
46119,국고채,2,3.332
46119,국고채,2.5,3.38
46119,국고채,3,3.446
46119,국고채,4,3.59
46119,국고채,5,3.617
46119,국고채,7,3.683
46119,국고채,10,3.755
46119,국고채,15,3.766
46119,국고채,20,3.725
46119,국고채,30,3.638
46118,국고채,0.25,2.618
46118,국고채,0.5,2.723
46118,국고채,0.75,2.828
46118,국고채,1,2.999
46118,국고채,1.5,3.139
46118,국고채,2,3.337
46118,국고채,2.5,3.381
46118,국고채,3,3.43
46118,국고채,4,3.569
46118,국고채,5,3.592
46118,국고채,7,3.656
46118,국고채,10,3.725
46118,국고채,15,3.733
46118,국고채,20,3.687
46118,국고채,30,3.611
46115,국고채,0.25,2.621
46115,국고채,0.5,2.726
46115,국고채,0.75,2.828
